proteinID	geneID	uniprot	protein_name	gene_name
FRUCTBISALD-CLASSII-MONOMER	EG10282	P0AB71	fructose-bisphosphate aldolase class II	Fda, Ald, FbaA, Fba
MONOMER-3166	G-2262	Q8RNX9	protocatechuate 4,5-dioxygenase &beta; subunit	
MONOMER-14538	G-11108	O27179	pyruvate carboxylase subunit B	PycB
MONOMER-12000			2-acyl-4,6-diprenylphloroglucinol hydroxylase	
YKR053C-MONOMER	YKR053C	P23501	sphingoid base phosphate phosphatase	
MONOMER-17507	G-15246	Q8GU24		
MONOMER-15092	G-11528	Q8H0D7		Tdc, tryptophan decarboxylase
MONOMER-19953	G-44653	Q53669	3,5,7,9,11,13,15,17,19-nonaoxoicosanoate cyclase/dehydratase	MtmQ
MONOMER-17946	G-15939		GPPS.LSU	
G7920-MONOMER	G7920	P39371	<i>N</i>-acetylneuraminate mutarotase	YjhT, NanM
G1I0R-76-MONOMER	G1I0R-76	Q2G1M6	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase	SbnH, L-2,3-diamino-3-N-citryl-propanoate decarboxylase
AT5G48930-MONOMER	AT5G48930		hydroxycinnamoyl-CoA: shikimate/quinate hydroxycinnamoyltransferase	
MONOMER-543	G-195	P75531		TrxB
MONOMER-20357	G-58145	A1BDQ4	lycopene &beta;-monocyclase	CruA
MONOMER-12564	G-9647	Q7XZQ8	flavone synthase I	FNSI
HS01118-MONOMER	HS01118	P15907	&beta;-galactoside &alpha;-2,6-sialyltransferase 1	&alpha; 2,6-ST, B-cell antigen CD75, CMP-<i>N</i>-acetylneuraminate-&beta;-galactosamide-&alpha;-2,6-sialyltransferase 1, sialyltransferase 1, ST6Gal I
MONOMER-8562	G-6521	Q83WC4		
MONOMER-15642	G-12011			MrsB
MONOMER-13084	G-9964		glutamate synthase large subunit	GltA
MONOMER-18348	G-17848	Q331Q7	dTDP-4-dehydro-6-deoxy-&alpha;-D-gulose 4-ketoreductase	dTDP-4-oxo-6-deoxy-D-allose reductase
MONOMER-16062	G-12367	O66036	sulfate adenylyltransferase subunit	Sat
CARBBACSU-MONOMER	G-297		carbamoyl-phosphate synthetase A large subunit	CarB
AT1G23740-MONOMER	AT1G23740	Q9ZUC1	alkenal/one oxidoreductase	
MONOMER-20764	G-63021	Q9X5T6	mitomycin 6-<em>O</em>-methyltransferase	MmcR
MONOMER-18747	G-27217		ricin A chain	
HS06327-MONOMER	HS06327	P51580	thiopurine <i>S</i>-methyltransferase	thiopurine methyltransferase
EG10741-MONOMER	EG10741	P0AFK0	metalloprotease subunit TldE	Mcb, TldE, PmbA, protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD
MONOMER66-34394	HS01957	P19440	&gamma;-glutamyltransferase 1 precursor	CD224, GGT 1, &gamma;-glutamyltranspeptidase 1 precursor
MONOMER-21183	G-80702	Q0K7D4	L-dehydro-ascorbate lactonase	DhaL
MONOMER-13543	G-10314	P58329	cyanuric acid amidohydrolase subunit	AtzD
HS11970-MONOMER	HS11970	P22310	UDP-glucuronosyltransferase 1-4	UDP-glucuronosyltransferase 1A4, bilirubin-specific UDPGT isozyme 2, UDPGT 1-4, UDP glycosyltransferase 1 family, polypeptide A4, hUG-BR2, UGT-1D, UDP-glucuronosyltransferase 1-D
RHAMNULPALDOL-MONOMER	EG11866	P32169	rhamnulose-1-phosphate aldolase	RhaD
MONOMER-16513	G-12776	D4Q9Z5	soyasaponin III rhamnosyltransferase	UGT91H4
MONOMER-14029			anthranilate synthase &beta; subunit	
AT3G19270-MONOMER	AT3G19270	Q9LJK2		ABA 8'-hydroxylase
MONOMER-19136	G-43866	Q9AH03	2,4,6-trinitrophenol reductase	NpdI, picric acid reductase
MONOMER-17039	G-14846	E2RTY6	glucose-6-phosphate isomerase	
EG12217-MONOMER	EG12217	P37619	queuosine precursor transporter	YhhQ
MONOMER-21553	G-81074	O85336	GDP-L-fucose:&beta;-D-Glc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,4)-fucosyltranferase	WbdO
MONOMER-19516	G-44220	A0A0A8J873	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-gulopyranose hydrolase	
MONOMER-11087	G-8607	Q9ANX3	toluene <i>ortho</i>-monooxygenase TomA2 subunit	
G6156-MONOMER	G6156	P77324	aldehyde dehydrogenase, FAD-binding subunit	YagS, PaoB
FMDCMBARK-MONOMER	G-378		FmdC	FmdC
TTDA-MONOMER	EG11168	P05847	L(+)-tartrate dehydratase subunit &alpha;	YgjA, TtdA
MONOMER-3091			naphthalene 1,2-dioxygenase component B &beta; subunit	
MONOMER-14520	G-11088	P69060	cytidine 5'-monophosphate <i>N</i>-acetylneuraminate synthetase subunit	
MONOMER-11973	G-16013	Q0IP69		
YKL001C-MONOMER	YKL001C	Q02196	Met14	
MONOMER-17487	G-15234	Q9FQ26		
MONOMER-15072	G-43975	B7J413	sulfur dioxygenase &alpha; subunit	Sdo
MONOMER-19933	G-44632	L8EUP4	tetracycline polyketide synthase chain-length factor subunit	OxyB
MONOMER-17920	G-15552	Q9SSZ9	flavonoid peroxidase 1	
G7842-MONOMER	G7842	P0A784	oligoribonuclease	YjeR, Orn
G1G01-888-MONOMER	G1G01-888	Q88PN4	cytochrome bo terminal oxidase subunit IV	CyoD
AT5G43780-MONOMER	AT5G43780	Q9S7D8	APS4	
MONOMER-534	G-186			ArcC
MONOMER-20335	G-58124		4-hydroxytryptamine kinase	PsiK
MONOMER-12542	G-9629	P0A1I1	thiosulfate reductase (quinone) &beta; subunit	PhsB
HS00931-MONOMER	HS00931	Q13057	bifunctional coenzyme A synthase	coA synthase, dephospho-CoA pyrophosphorylase, dephosphocoenzyme A kinase, DPCK, DPCOAK, NBP, pantetheine-phosphate adenylyltransferase, POV-2, PPAT
MONOMER-845			serine hydroxymethyltransferase	
MONOMER-15623	G-11999	O94205	D-lysergyl-peptide synthetase PS1 subunit	LPS1, ps1
MONOMER-13067				
MONOMER-18331	G-17832	S6ANZ6	polyketide synthase complex type II &beta;-ketoacyl-[acp] synthase subunit	RauD
MONOMER-16045	G-12350	Q72CJ6	DsrO	
BSU39720-MONOMER	BSU39720	P42416	<i>scyllo</i>-inosose dehydratase	YxdE, IolE, 2-keto-<i>myo</i>-inositol dehydratase
AT1G18640-MONOMER	AT1G18640	O82796		
MONOMER-20748	G-63005	A0A0F7VPM5	3-demethylchaxamycin B methyltransferase	
MONOMER-18729	G-27202	A7XRY6	quinone reductase	TdiC
HS06066-MONOMER	HS06066	P15104	glutamine synthetase subunit	
EG10694-MONOMER	EG10694	P68767	aminopeptidase A/I	PepA, XerB, CarP
MONOMER4FS-3				
MONOMER-21167	G-80683	S5SC42	<i>N,N</i>-dimethyl-phenylurea <i>N</i> demethylase oxygenase component &beta; subunit	PdmB
MONOMER-13516				
HS11524-MONOMER	HS11524	Q8NET6	chondroitin 4-sulfotransferase 3	C4ST-3, C4ST3, chondroitin 4-<i>O</i>-sulfotransferase 3, carbohydrate sulfotransferase 13
RHA1_RO08167-MONOMER	RHA1_RO08167		phthalate 3,4-dioxygenase alpha subunit	
MONOMER-16496			4-acetamidobutyrate deacetylase monomer	
MONOMER-14010				
AT3G14550-MONOMER	AT3G14550	Q9LUD9		
MONOMER-19120	G-43853	Q4WV46		
MONOMER-17021			benzil reductase [(<i>R</i>)-benzoin-forming]	
EG12131-MONOMER	EG12131	P0A6L9	[Fe-S] cluster biosynthesis co-chaperone HscB	YfhE, HscB, Hsc20, Hsc20 co-chaperone that acts with Hsc66 in IscU iron-sulfur cluster assembly, co-chaperone for [Fe-S] cluster biosynthesis
MONOMER-21536	G-81057	Q9S520	GDB-colitose:&alpha;-D-Glc-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1,3)/&alpha;-(1,6)-colitosyltransferase	WbdL
MONOMER-19499	G-44203	Q8GXR9	demethylphylloquinone dehydrogenase	
MONOMER-11003			sarcosine dehydrogenase &alpha; subunit	
G3O-34275-MONOMER	G3O-34275	Q06510	lyso-phosphatidylcholine acyltransferase	
FEPB-MONOMER	EG10294	P0AEL6	ferric enterobactin ABC transporter periplasmic binding protein	
TREHALAPERI-MONOMER	EG11017	P13482	periplasmic trehalase	Tre, OsmA, TreA
MONOMER-2981	G-2101	Q9APM5	taurine:pyruvate aminotransferase subunit	Tpa
MONOMER-14489	G-11064	O48935		(E)-B-farnesene synthase
MONOMER-11928				
YJL071W-MONOMER	YJL071W		acetylglutamate synthase	
MONOMER-17464	G-15224	Q6SQJ5		
MONOMER-15053	G-11493	B6D7P1		shikimate O-hydroxycinnamoyltransferase
MONOMER-19916			L-tryptophan ammonia lyase 35 kDa subunit	
MONOMER-17899	G-15538	Q56Y42	pyridoxal reductase	
G7713-MONOMER	G7713	P45531	sulfurtransferase complex subunit TusC	YheM, TusC
G1G01-4530-MONOMER	G1G01-4530	Q88F42	cbb3-2 cytochrome c oxidase subunit Q	
AT5G38450-MONOMER	AT5G38450		cytokinin <i>trans</i>-hydroxylase	
MONOMER-5221				
MONOMER-20319	G-55304	V4HM79	tribromopyrrolyl-2-carboxylate decarboxylase	
MONOMER-12512	G-9607	P45575	dissimilatory sulfite reductase &beta; subunit	DsvB
HS00703-MONOMER	HS00703	O15488	glycogenin 2 monomer	
MONOMER-8341	G-6321	P44569	NAD pyrophosphatase	NucA, NadN, HI0206
MONOMER-15596	G-11967	Q4WZ64	fumigaclavine C acetyltransferase	
MONOMER-13050			L-asparaginase subunit	
MONOMER-18314	G-17815	Q4JAP8	[2-aminoadipate carrier protein]-C-terminal-L-glutamyl-&gamma;-L-lysine aminotransferase	ArgD, LysJ, [LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase
MONOMER-16025	G-12333	Q9LLR9		
BSU38140-MONOMER	BSU38140	P34959	cytochrome aa3-600 quinol oxidase (subunit IV)	QoxD
AT1G14290-MONOMER	AT1G14290	Q9AST3		
MONOMER-20732	G-62989	A0A286SC67		
MONOMER-18712	G-27186	D7UTD0	8&beta;-hydroxyfusicocca-1,10(14)-diene-16-al reductase	
HS05844-MONOMER	HS05844	Q9Y6K0	choline/ethanolaminephosphotransferase 1	hCEPT1
EG10600-MONOMER	EG10600	P0A6F9	cochaperonin GroES	GroS, GroES, MopB, cpn10
MONOMER3O-695	YBR036C	P35206	mannosylinositol phosphorylceramide synthase regulatory subunit	
MONOMER-21151	G-80667	Q5LE55	2-aminoethylphosphonate&mdash;pyruvate transaminase monomer	PhnW, AepZ, 2-aminoethylphosphonate aminotransferase, AEP transaminase
MONOMER-13488	G-10274	P0DJQ3	proclavaminate amidino hydrolase subunit	Pah
HS11096-MONOMER	HS11096	P04818	thymidylate synthase	TS, TSase
REUT_A1587-MONOMER	REUT_A1587	Q471I0		TcpC
MONOMER-16477	G-12744	A3DFA2	glycosyl hydrolase 53 domain protein	
MONOMER-13983	G-10676	P13249		Pac
AT3G10920-MONOMER	AT3G10920		superoxide dismutase (Mn)	
MONOMER-19104	G-43837	A6T661	cytosine deaminase monomer	
MONOMER-17004	G-14824	Q6T1W3	glucose-1-phosphate thymidylyltransferase	RmlA
EG12022-MONOMER	EG12022	P33371	tRNA-dihydrouridine<sup>16</sup> synthase	DusC, YohI
MONOMER-21520	G-81041	Q077Q8	<i>Escherichia coli</i> O:56 antigen repeat unit flippase	
MONOMER-19481	G-44186	Q5V8A7	(-)-indolactam synthase	LtxB
MONOMER-10921			phytase / 3-phytase	LP12
G3O-33724-MONOMER	G3O-33724		ISU2 [Fe-s} cluster scaffold protein monomer	
FADA-MONOMER	EG10278	P21151	3-ketoacyl-CoA thiolase	OldA, FadA, thiolase I
THYMIDYLATESYN-MONOMER	EG11002	P0A884	thymidylate synthase	ThyA
MONOMER-2847			NAD-dependent succinate semialdehyde dehydrogenase	
MONOMER-14469				
MONOMER-11911	G-9244	P72578	2-oxoacid:ferredoxin oxidoreductase &alpha; subunit	
YJCQ-MONOMER	EG11953	P32715	putative multidrug efflux pump subunit MdtO	MdtO, YjcQ, SdsQ
MONOMER-17445	G-15213	D4AK45	chanoclavine-I dehydrogenase monomer	
MONOMER-15032	G-11472	Q0K2K2	4-aminobutyrate aminotransferase monomer	GabT
MONOMER-19899	G-44602	A0A0K8P8E7	mono(ethylene terephthalate) hydrolase	MHET hydrolase, MHETase
MONOMER-17883	G-15525		linalool synthase	
G7682-MONOMER	G7682	P39099	periplasmic serine endoprotease	HhoA, DegQ
G1G01-4398-MONOMER	G1G01-4398	Q88FG5	NADH-quinone oxidoreductase subunit N	NuoN
AT5G28840-MONOMER	AT5G28840	Q93VR3	GDP-D-mannose-3,5-epimerase	
MONOMER-5147	G-3905		tetrachloroethene-reductive dehalogenase	PceA, PCE-reductive dehalogenase, PCE-RDase
MONOMER-20303	G-55188	A0A1S6Q8F9	<i>endo</i>-cleaving rubber dioxygenase RoxB	RoxB, rubber oxygenase B
MONOMER-12484	G-9584			
HS00528-MONOMER	HS00528	P20933	glycosylasparaginase beta chain	AGA, Aspartylglucosaminidase, Glycosylasparaginase, N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase
MONOMER-8145	G-6181	P41929	lysine <i>N</i><sup>6</sup>-acetyltransferase	
MONOMER-15576	G-11952	Q9AGY6		GmhD, HddC
MONOMER-13033	G-9929	P11708	malate dehydrogenase subunit	
MONOMER-18296				
MONOMER-16005	G-12314	P20580	anthranilate synthase &alpha; subunit	TrpE, anthranilate synthase component I
BSU35680-MONOMER	BSU35680	P46918	poly(glucosyl <i>N</i>-acetylgalactosamine 1-phosphate) <i>N</i>-acetylgalactosamine 1-phosphate primase/transferase	GgaB
AT1G08510-MONOMER	AT1G08510	Q9SJE2	fatty acyl-[acyl-carrier-protein] hydrolase FatB	acyl-[acp] thioesterase
MONOMER-20714	G-58860	B4ER92	spectinabilin polyketide synthase NorA protein	NorA
MONOMER-18695	G-27169	D4GXZ3		MvaD
HS05555-MONOMER	HS05555	P17540	sarcomeric mitochondrial creatine kinase subunit	
EG10528-MONOMER	EG10528	P02943	maltose outer membrane channel / phage lambda receptor protein	MalL, MalB, LamB
MONOMER3O-3915	G3O-30409	P43534	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase	
MONOMER-21135	G-80651	Q8U3T3	molybdopterin adenylyltransferase monomer	MoaB
MONOMER-13466	G-10251	P38945	4-hydroxybutyrate dehydrogenase (NAD)	
HS10821-MONOMER	HS10821	O43505	&beta;-1,4-glucuronosyltransferase 1	iGnT
PYRDAMPTRANS-MONOMER				
MONOMER-16461	G-12728	P31897	CooC	
MONOMER-13965			NAD+-dependent dihydrocarveol dehydrogenase	
AT3G06060-MONOMER	AT3G06060	Q0WRJ2	3-ketodihydrosphinganine reductase	3-oxosphinganine reductase, 3-oxosphinganine:NADPH oxidoreductase
MONOMER-19079			lachrymatory-factor synthase &delta; subunit	
MONOMER-16982	G-14800	Q9RMX8	capsule biosynthesis protein CapE	CapE
EG11914-MONOMER	EG11914	P0CB39	phosphoethanolamine transferase EptC	EptC, YijP
MONOMER-21504	G-81025		sulfoquinovose isomerase	SftI
MONOMER-19463	G-44171		sch210971/2 synthetase	TasS
MONOMER-10841	G-8401	Q5Y818	respiratory arsenate reductase large subunit	ArrA
G3O-33086-MONOMER	G3O-33086	P53950	vacuolar segregation protein 7	
ENSG00000181027-MONOMER	HS17614	Q9H9S5	fukutin-related protein	
THIC-MONOMER	EG11585	P30136	phosphomethylpyrimidine synthase	ThiC
MONOMER-2744	G-1922	P0A010		LacD
MONOMER-14449	G-11025	A7BJ35		
MONOMER-11884	G-80768	B4F833	diaminopimelate epimerase	
YIL043C-MONOMER	YIL043C	P38626	NADH-cytochrome <i>b</i><sub>5</sub> reductase	cytochrome b reductase, NADH-cytochrome b5 reductase 1
MONOMER-17429	G-15203	Q92W82		AsnO
MONOMER-15011			N<sup>8</sup>-acetylspermidine oxidase (propane-1,3-diamine-forming)	
MONOMER-19882	G-44585	Q8TII4	3-(methylthio)propanoate:coenzyme M methyltransferase	MtpA
MONOMER-17862			anthocyanidin 3-<i>O</i>-coumaroylrutinoside 5-<i>O</i>-glucosyltransferase	
G7599-MONOMER	G7599	P42592	glycoside hydrolase	YgjK
G1G01-4210-MONOMER	G1G01-4210	Q88FY1	2,5-dihydroxypyridine dioxygenase	NicX
AT5G23320-MONOMER	AT5G23320	Q9FMW9		
MONOMER-510				
MONOMER-20282	G-55168	P0DL13	&Delta;<sup>6</sup>-protoilludene synthase	
MONOMER-12452	G-9570	Q0PQX5	adenylylsulfate reductase &beta; subunit	
HS00336-MONOMER	HS00336	P09917	arachidonate 5-lipoxygenase	5-lipoxygenase, 5-LO
MONOMER-810	G-530		AT5G38420	
MONOMER-15558	G-11933	Q9KHK9		EncJ
MONOMER-13014	G-9915	Q841S6	methyl parathion hydrolase	Mph, Mpd
MONOMER-18280	G-17784	Q8XAD0	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	AgaZ, KbaZ
MONOMER-15987	G-12297	Q44576		AceA
BSU34120-MONOMER	BSU34120	O07013	arabinogalactan endo-1,4-&beta;-galactosidase	GalA, YvfO, GanB
AT1G03310-MONOMER	AT1G03310	Q8L735	isoamylase non-catalytic subunit	
MONOMER-20698	G-58844	A5FCJ5	class 1d ribonucleotide-diphosphate reductase &beta; subunit	
MONOMER-18676	G-27149	B8R4L9	phenylurea hydrolase A subunit	PuhA
HS05429-MONOMER	HS05429	Q9HA47	uridine-cytidine kinase 1	cytidine monophosphokinase 1, UCK 1, uridine monophosphokinase 1
EG10442-MONOMER	EG10442	P23873	antitoxin/DNA-binding transcriptional repressor HipB	HipB
MONOMER3O-27	YBR153W	P33312		
MONOMER-21119	G-80634	Q9YA51	phosphomevalonate dehydratase large subunit	
MONOMER-13449	G-10239	Q5E3J8	NapC	
HS10525-MONOMER	HS10525	P21549	Serine--pyruvate aminotransferase	AGT, SPT
PSTC-MONOMER	EG10784	P0AGH8	phosphate ABC transporter membrane subunit PstC	PhoW
MONOMER-16444	G-12713	P72317	CooL subunit	CooL
MONOMER-13945	G-10647	Q9ST02	nicotianamine aminotransferase A	NAAT-III
AT3G02580-MONOMER	AT3G02580		&Delta;<sup>7</sup>-sterol-C5-desaturase	DWF7
MONOMER-19061	G-43803	Q5M6Q8		WcaG
MONOMER-16957	G-14777	A4KDP0	acyl-lipid 5-desaturase	
EG11833-MONOMER	EG11833	P32129	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG	YihG
MONOMER-21488	G-81009	Q9XCW2	dTDP-L-rhamnose:&beta;-D-Qui4NAc-(1&rarr;2)-&alpha;-D-Man-(1&rarr;4)-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1&rarr;3<sup>III</sup>)-rhamnosyltransferase WbbA	WbbA
MONOMER-19447	G-44155	Q66SY0	YWA1 synthase	
MONOMER-10727	G-8323	Q7SIF4	arsenite oxidoreductase large subunit	AioA, AsoA
G3O-32654-MONOMER	G3O-32654	Q04958	neuropathy target esterase	
ENSG00000174083-MONOMER	HS16294	Q5UE93	phosphoinositide 3-kinase regulatory subunit p87	PIK3R6, phosphoinositide 3-kinase gamma adapter protein of 87 kDa, p87 PI3K adapter protein, phosphoinositide 3-kinase regulatory subunit 6
SYNPCC7942_2525-MONOMER	SYNPCC7942_2525	O34125	ClpP2	
MONOMER-2542			tyramine hydroxycinnamoyltransferase	
MONOMER-14429	G-11008	Q91ZW6	&epsilon;-<i>N</i>-trimethyllysine hydroxylase subunit	
MONOMER-11854	G-9214		pyruvate:ferredoxin oxidoreductase &epsilon; subunit	PorE
YHR072W-MONOMER	YHR072W	P38604	2,3-oxidosqualene-lanosterol cyclase	
MONOMER-17413	G-15188	Q0PVM6	aryl-sulfate sulfotransferase monomer	AstA
MONOMER-14988	G-11435	Q5UNS1		
MONOMER-19863	G-44571	Q9AF95	1-butanol dehydrogenase (cytochrome c)	Bdh
MONOMER-17844	G-15493	F4JBI5		
G7525-MONOMER	G7525	P0A8I1	ribonuclease H-like domain-containing nuclease	YqgF, putative pre-16S rRNA nuclease, DNA damage response protein YqgF
G1G01-2702-MONOMER	G1G01-2702	Q88JX5	gallate dioxygenase monomer	GllA, GalA
AT5G17520-MONOMER	AT5G17520	Q9LF50	maltose transporter	
MONOMER-5				
MONOMER-20262	G-55148	P52415	glucose 1-phosphate adenylyltransferase	GlgC
MONOMER-12433				
HS00120-MONOMER	HS00120	P53701	holocytochrome-<em>c</em> synthase	CCHL, cytochrome <i>c</i>-type heme lyase, holocytochrome <i>c</i>-type synthase
MONOMER-7941	G-5981	Q6ET36		
MONOMER-15534	G-11907			Ldt, ErfK/ybiS/ycfS/ynhG family protein
MONOMER-12998	G-9911	P08594		PstI
MONOMER-18264	G-17769	A0A2K2AL26	dihydroflavonol-4-reductase	
MONOMER-15970	G-12280	Q5JHF1		PokA
BSU28440-MONOMER	BSU28440	P08065	succinate dehydrogenase (flavoprotein subunit)	CitF, SdhA
ASPDECARBOX-MONOMER	EG11747	P0A790	aspartate 1-decarboxylase proenzyme	PanD, PanD proenzyme, &pi; protein
MONOMER-20673	G-58820	W8X9Q8	perillyl-CoA hydrolase	MrcF
MONOMER-18658	G-27133	K0I7Q2	flavonoid 4'-<i>O</i>-methyltransferase	
HS05270-MONOMER	HS05270	Q9BXR0	queuine tRNA-ribosyltransferase catalytic subunit	
EG10344-MONOMER	EG10344	P0ABG4	essential cell division protein FtsW	FtsW, putative lipid II flippase FtsW
MONOMER3DJ-130			UDP-glucuronidase	
MONOMER-21101	G-80617	Q54358	1-(mycothiol-<i>S</i>-yl)-<i>N</i>-demethyllincomycin amidase	LmbE
MONOMER-13426	G-10218	Q6Q796		Caffeic acid O-methyltransferase
HS10240-MONOMER	G-11453	Q16773	kynurenine aminotransferase I subunit	
PSBI-MONOMER	G-429	Q54697	Photosystem II reaction center protein I	PsbI, PSII 4.4 kDa protein
MONOMER-16420	G-12690	Q05332	cellulase G	CelG, endoglucanase G
MONOMER-13919	G-10622	P39135	4'-phosphopantetheinyl transferase	Sfp
AT2G46390-MONOMER	AT2G46390	Q9SKE0	complex II subunit 8	complex II subunit 8
MONOMER-19046	G-43788	A0A097ZPC9		AndC
MONOMER-16941	G-14760	E4WD16	5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA dehydrogenase	
EG11758-MONOMER	EG11758	P31806	NAD(P)HX epimerase / NAD(P)HX dehydratase	Nnr, YjeF
MONOMER-21472	G-80993	Q5EXL6	UDP-galactose:&alpha;-L-FucNAc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-undecaprenol &beta;-(1,3)-galactosyltransferase	WbuS
MONOMER-19431	G-44139	Q0GND7	1,3-bisphosphoglycerate:acyl-carrier protein glyceryltransferase	ZmaN
MONOMER-10586	G-7962		CVOMT1 subunit	
G3O-32052-MONOMER	G3O-32052	P36165	triacylglycerol lipase	
ENSG00000171004-MONOMER	HS17320		[heparan-sulfate]-6-<i>O</i>-sulfotransferase 2	HS6ST-2
SYNPCC7942_2094-MONOMER	SYNPCC7942_2094	Q8VPV6	CO<sub>2</sub> hydration protein CupS	CupS
MONOMER-2482			&alpha; 1,4-galacturonosyltransferase	polygalacturonate 4-&alpha;-galacturonosyltransferase, pectin synthase
MONOMER-14407	G-10993	Q52387	chlorobenzene dihydrodiol dehydrogenase	TcbB, chlorobenzene glycol dehydrogenase
MONOMER-11832	G-9194	P30079	PSCHS subunit	
YGR202C-MONOMER	YGR202C	P13259		
MONOMER-17393	G-15172	Q6N8W7	4-coumaroyl-CoA hydratase/aldolase	CouA
MONOMER-14969	G-11417			
MONOMER-19845	G-44554	A2SP35	<i>tert</i>-butyl alcohol hydroxylase reductase subunit	MdpK
MONOMER-17819	G-15481			
G7457-MONOMER	G7457	P0A935	membrane-bound lytic murein transglycosylase A	YgdM, Mlt, MltA, Mlt38
G1G01-110-MONOMER	G1G01-110	Q88RM3	cytochrome c oxidase subunit 3	
AT5G14200-MONOMER	AT5G14200	Q9FMT1	isopropylmalate dehydrogenase 3	
MONOMER-4889	G-3770	P13203	glucose dehydrogenase subunit	Gdh
MONOMER-20244	G-55130	D4GSH6	tRNA 2-thiolation protein	NcsA
MONOMER-12416	G-9548	Q70YP8		
HS00029-MONOMER	HS00029	P00156	cytochrome <i>bc</i><sub>1</sub> complex subunit 3 (cytochrome <i>b</i>)	complex III subunit 3, complex III subunit III, cytochrome b-c1 complex subunit 3, ubiquinol-cytochrome-c reductase complex cytochrome b subunit, cytochrome b, cytochrome <i>bc</i><sub>1</sub> complex subunit 3
MONOMER-7762			tryptophan 2'-dioxygenase &beta; subunit	
MONOMER-15504	G-11884	Q46222	(Kdo)-lipid IV<sub>A</sub> 3-deoxy-D-<i>manno</i>-octulosonic acid transferase	KdtA, GseA, WaaA
MONOMER-12945	G-9903		berbamunine synthase	
MONOMER-18246	G-17754	P22873	geranylgeranyl diphosphate synthase	CrtE
MONOMER-15953	G-12264	Q845K2	2,3-dehydroadipyl-CoA hydratase	PaaF
BSU22560-MONOMER	BSU22560	P46911	menaquinol:cytochrome c oxidoreductase (iron-sulfur subunit)	PetC, BfcA, QcrA
ARSF-MONOMER	EG12236	P0AB93	arsenite/antimonite:H<sup>+</sup> antiporter	ArsF, ArsB
MONOMER-20655	G-58804	Q9I0F2	ferric enterobactin esterase	PfeE
MONOMER-18640	G-27109	Q9C451	paxilline prenyltransferase subunit	PaxD
HS05132-MONOMER	HS05132	P30084	short-chain enoyl-CoA hydratase monomer	enoyl-CoA hydratase 1, SCEH, mitochondrial enoyl-CoA hydratase
EG10243-MONOMER	EG10243	P03007	DNA polymerase III subunit &epsilon;	MutD, DnaQ
MONOMER18C3-52	G18C3-48	B5TVE1	salicylate 1-<i>O</i>-methyltransferase	
MONOMER-21085	G-80603	Q52QI9	patellamide N-terminal peptidase	PatA
MONOMER-13405				
HS09924-MONOMER	HS09924	Q96G03	phosphoglucomutase-2	glucose phosphomutase 2, PGM 2, phosphodeoxyribomutase, phosphopentomutase
PSAF-MONOMER	G-411	P29256	Photosystem I reaction center subunit III	PsaF, PSI-F
MONOMER-16398	G-12657	Q2RU33	MbhM	nuoH
MONOMER-13898	G-10605	Q55182		MenE
AT2G43750-MONOMER	AT2G43750	P47999	O-acetylserine (thiol) lyase	OasB
MONOMER-19031	G-43772	P74498		
MONOMER-16923	G-14742	P19871	3&beta;-hydroxysteroid dehydrogenase monomer	Hsd
EG11671-MONOMER	EG11671	P76460	short chain fatty acid transporter	AtoE, putative short chain fatty acid transporter
MONOMER-21458	G-80979	D8WUJ2	<I>Escherichia coli</i> O:85 antigen polymerase monomer	
MONOMER-19415	G-44122	A2VA21	bikaverin monooxygenase	
MONOMER-10405	G-8085	Q9LSV0	succinate semialdehyde reductase (NADPH)	succinic semialdehyde reductase, &gamma;-hydroxybutyrate dehydrogenase
ENSG00000165905-MONOMER	HS09299	Q8N3Y3	&alpha;-dystroglycan &alpha;1,3-xylosyltransferase/&beta;1,4-glucuronosyltransferase 2	glycosyltransferase-like protein LARGE2
SYNPCC7942_1743-MONOMER	SYNPCC7942_1743	Q31ME6	ferredoxin-plastoquinone oxidoreductase subunit H	NdhH
MONOMER-2402			quinoline 2-oxidoreductase &beta; subunit	
MONOMER-14391	G-10977	O24677	chlorobenzene dioxygenase terminal oxidase small subunit	
